,src_ip,src_port,dst_ip,dst_port,protocol,requested_server_name,application_name
161,192.168.0.101,59387,117.185.247.73,8080,6,aedns.weixin.qq.com,HTTP_Proxy.QQ
162,192.168.0.101,58051,120.241.130.240,443,17,,QUIC
163,192.168.0.101,59389,183.192.194.120,8080,6,,HTTP_Proxy
164,192.168.0.101,50735,192.168.1.1,53,17,safebrowsing.googleapis.com,DNS.GoogleServices
165,36.143.4.160,0,192.168.0.101,0,1,,ICMP
166,192.168.0.101,59388,183.232.91.107,443,6,tgwsc.qq.com,TLS.QQ
167,192.168.0.101,62109,182.254.63.19,443,6,xs.gdt.qq.com,TLS.QQ
168,192.168.0.101,56397,192.168.1.1,53,17,p.l.qq.com,DNS.QQ
169,192.168.0.101,62136,113.108.81.184,80,6,livep.l.qq.com,HTTP.QQ
170,192.168.0.101,58171,192.168.1.1,53,17,info6.video.qq.com,DNS.QQ
171,192.168.0.101,50203,192.168.1.1,53,17,p.l.qq.com,DNS.QQ
172,192.168.0.101,61689,192.168.1.1,53,17,tv.puui.qpic.cn,DNS
173,192.168.0.101,62107,113.108.81.190,80,6,p.l.qq.com,HTTP.QQ
174,192.168.0.101,52170,223.113.137.215,443,17,m.v.qq.com,QUIC.Tencentvideo
175,192.168.0.101,61356,192.168.1.1,53,17,info4.video.qq.com,DNS.QQ
176,192.168.0.101,62108,182.254.63.19,443,6,xs.gdt.qq.com,TLS.QQ
177,192.168.0.101,62114,182.254.63.19,443,6,xs.gdt.qq.com,TLS.QQ
178,192.168.0.101,62112,182.254.63.19,443,6,xs.gdt.qq.com,TLS.QQ
179,192.168.0.101,62139,111.48.72.184,443,6,cdn-go.cn,TLS
180,192.168.0.101,59409,112.60.14.14,443,6,info4.video.qq.com,TLS.QQ
181,192.168.0.101,62113,182.254.63.19,443,6,xs.gdt.qq.com,TLS.QQ
182,192.168.0.101,63454,192.168.1.1,53,17,406444.sched.legopic2-dk.tdnsv6.com,DNS
183,192.168.0.101,61657,192.168.1.1,53,17,gif.media.qpic.cn,DNS
184,192.168.0.101,65230,192.168.1.1,53,17,cdn-go.cn.cloud.tc.qq.com,DNS.QQ
185,192.168.0.101,55241,192.168.1.1,53,17,cloud.tgpa.qq.com,DNS.QQ
